YEAR,CMTE_ID,TOTAL_TRANSACTIONS,CMTE_NAME
2006,C00053553,227388,NATIONAL RIFLE ASSOCIATION OF AMERICA POLITICAL VICTORY FUND
2002,C00003418,73543,REPUBLICAN NATIONAL COMMITTEE
2000,C00075820,67140,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE EXPENDITURES
2000,C00307777,64032,FREEDOM CLUB FEDERAL PAC
2006,C00129171,52548,"MINNESOTA CITIZENS CONCERNED FOR LIFE, INC. FEDERAL PAC"
2004,C00347203,45911,KENNEDY FOR CONGRESS
2000,C00000935,39146,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - EXPENDITURES
2000,C00053553,37865,NRA POLITICAL VICTORY FUND
2004,C00075820,34398,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE
2006,C00111278,27058,NATIONAL RIGHT TO LIFE POLITICAL ACTION COMMITTEE
2006,C70001847,25149,AMERICAN MEDICAL ASSOCIATION
2006,C00027466,25000,NATIONAL REPUBLICAN SENATORIAL COMMITTEE
2006,C00332296,24851,SUSAN B. ANTHONY LIST INC. CANDIDATE FUND
2006,C00384032,22834,MARK KENNEDY FOR CONGRESS
2006,C70000120,20329,"AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO (D.C.)"
2006,C00193177,19000,FINANCIAL SERVICES ROUNDTABLE PAC
2006,C00077321,19000,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS POLITICAL ACTION COMMITTEE
2006,C00343137,18000,POLITICAL ACTION COMMITTEE OF THE AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS
2002,C00307777,16501,FREEDOM CLUB FEDERAL PAC
2006,C00199703,15000,SMITHKLINE BEECHAM CORPORATION POLITICAL ACTION COMMITTEE (GLAXOSMITHKLINE PAC)
2006,C00325076,15000,CAMPAIGN FOR WORKING FAMILIES
2006,C00343947,15000,NEXT CENTURY FUND
2006,C00379479,15000,"HAWKEYE PAC, THE"
2006,C00098061,15000,TARGETCITIZENS POLITICAL FORUM
2002,C00077321,15000,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS EFFECTIVE LEGISLATION COMMITTEE (AICPA)
2002,C00000901,15000,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS
2002,C00062646,15000,GENERAL MILLS POLITICAL ACTION COMMITTEE
2002,C00093054,15000,WAL-MART STORES INC PAC FOR RESPONSIBLE GOVERNMENT
2000,C00129171,14367,MINNESOTA CITIZENS CONCERNED FOR LIFE COMMITTEE FOR A PRO-LIFE CONGRESS
2002,C00166348,14000,SOUTHERN MINNESOTA SUGAR COOPERATIVE POLITICAL ACTION COMMITTEE
2004,C00053553,13570,NRA POLITICAL VICTORY FUND
2002,C00053553,13148,NRA POLITICAL VICTORY FUND
2002,C00001313,13000,REPUBLICAN PARTY OF MINNESOTA
2006,C00307777,12500,FREEDOM CLUB FEDERAL PAC
2002,C00040998,12000,DEALERS ELECTION ACTION COMMITTEE OF THE NATIONAL AUTOMOBILE DEALERS ASSOCIATION (NADA)
2002,C00000422,11500,AMERICAN MEDICAL ASSOCIATION POLITICAL ACTION COMMITTEE
2006,C70002969,11235,NATIONAL FEDERATION OF INDEPENDENT BUSINESS SAVE AMERICA'S FREE ENTERPRISE TRUST
2004,C00129171,11116,MCCL FEDERAL PAC
2004,C00330068,11096,PROMOTING REPUBLICANS YOU CAN ELECT PROJECT (PRYCE PROJECT)
2006,C70000112,11006,AFL-CIO COPE POLITICAL CONTRIBUTIONS COMMITTEE
2004,C00305805,10576,FREEDOM PROJECT; THE
2002,C00305805,10528,FREEDOM PROJECT; THE
2004,C00082917,10484,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
2002,C00018036,10128,U S BANCORP POLITICAL PARTICIPATION PROGRAM
2006,C00080515,10000,EMERSON ELECTRIC CO RESPONSIBLE GOVERNMENT FUND
2006,C00363689,10000,TALLATCHEE CREEK INC. PAC
2006,C00078451,10000,GENERAL DYNAMICS VOLUNTARY POLITICAL CONTRIBUTION PLAN (GDVPCP)
2006,C00364158,10000,OB-GYNS FOR WOMEN'S HEALTH PAC
2006,C00360362,10000,"SCHWAN FOOD COMPANY, INC. POLITICAL ACTION COMMITTEE (SCHWAN PAC), THE"
2006,C00167916,10000,LOCKRIDGE GRINDAL NAUEN POLITICAL FUND
2006,C00296640,10000,REPUBLICAN MAJORITY FUND
2006,C00364596,10000,BATTLE BORN POLITICAL ACTION COMMITTEE
2006,C00062646,10000,GENERAL MILLS POLITICAL ACTION COMMITTEE
2006,C00364737,10000,OHIO'S 17 STAR PAC
2006,C00284885,10000,"HOME DEPOT INC. POLITICAL ACTION COMMITTEE, THE"
2006,C00365551,10000,KPAC
2006,C00368431,10000,SENATE MAJORITY FUND
2006,C00356378,10000,BUCKEYE POLITICAL ACTION COMMITTEE
2006,C00370932,10000,WHITE MOUNTAIN PAC
