CMTE_ID,TOTAL_TRANSACTIONS,YEAR,CMTE_NAME
C00053553,291971,4,NRA POLITICAL VICTORY FUND
C00075820,110717,4,NATIONAL REPUBLICAN CONGRESSIONAL COMMITTEE EXPENDITURES
C00307777,103033,4,FREEDOM CLUB FEDERAL PAC
C00003418,93043,3,REPUBLICAN NATIONAL COMMITTEE - RNC
C00129171,85209,4,MINNESOTA CITIZENS CONCERNED FOR LIFE COMMITTEE FOR A PRO-LIFE CONGRESS
C00347203,45911,1,KENNEDY FOR CONGRESS
C00077321,43917,3,AMERICAN INSTITUTE OF CERTIFIED PUBLIC ACCOUNTANTS EFFECTIVE LEGISLATION COMMITTEE (AICPA)
C00305805,41104,4,FREEDOM PROJECT; THE
C00010421,40000,4,ASSOCIATED BUILDERS AND CONTRACTORS POLITICAL ACTION COMMITTEE (ABC/PAC)
C00000935,39146,1,DEMOCRATIC CONGRESSIONAL CAMPAIGN COMMITTEE - EXPENDITURES
C00144766,39000,4,NATIONAL BEER WHOLESALERS' ASSOCIATION POLITICAL ACTION COMMITTEE (NBWA PAC)
C00067884,37000,4,"CARGILL, INCORPORATED, POLITICAL ACTION COMMITTEE"
C00307405,35000,4,KEEP OUR MAJORITY POLITICAL ACTION COMMITTEE (KOMPAC)
C00062646,35000,3,GENERAL MILLS INC POLITICAL ACTION COMMITTEE (GM PAC)
C00003764,35000,4,NATIONAL RESTAURANT ASSOCIATION POLITICAL ACTION         COMMITTEE
C00328468,35000,4,COMMITTEE FOR THE PRESERVATION OF CAPITALISM
C00000901,35000,3,BUILD POLITICAL ACTION COMMITTEE OF THE NATIONAL ASSOCIATION OF HOME BUILDERS
C00082917,33363,4,ASSOCIATED GENERAL CONTRACTORS OF AMERICA POLITICAL ACTION COMMITTEE
C00098061,32500,4,TARGET CITIZEN'S FEDERAL FORUM
C00093054,32500,3,WAL-MART STORES INC PAC FOR RESPONSIBLE GOVERNMENT
C00004275,32500,4,AMERICAN BANKERS ASSOCIATION BANKPAC
